state_name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aguascalientes,0,9,3,10,10,26,10,6,15,33,15,34,48
Baja California,0,4,25,11,7,8,97,225,226,1,161,264,1
Baja California Sur,0,0,1,1,3,2,3,5,4,5,14,1,0
Campeche,0,0,3,0,0,1,0,4,10,9,8,0,0
Chiapas,0,0,0,0,0,2,4,2,4,4,25,44,22
Chihuahua,0,75,102,139,161,229,231,208,232,246,291,250,25
Ciudad de Mexico,0,0,1,90,25,210,111,124,55,56,26,43,3
Coahuila,3,39,102,146,195,353,166,174,215,219,104,77,0
Colima,0,0,2,1,5,20,36,44,21,5,68,257,246
Durango,0,7,10,21,123,82,52,28,14,10,17,50,7
Guanajuato,1,9,10,17,21,26,23,23,41,71,136,164,80
Guerrero,0,21,16,7,15,75,56,120,222,241,292,335,88
Hidalgo,2,14,24,25,16,40,19,3,4,11,1,13,1
Jalisco,2,37,47,82,123,279,276,519,454,408,510,645,52
Mexico,5,92,56,94,67,167,145,333,270,407,794,1008,453
Michoacan,2,18,24,55,94,105,163,255,179,83,46,55,136
Morelos,0,0,0,2,6,7,5,17,16,33,70,72,13
Nayarit,0,0,0,6,0,4,0,6,4,0,0,123,1
Nuevo Leon,2,62,45,90,501,596,310,194,139,214,195,255,324
Oaxaca,3,23,54,3,10,26,5,33,29,4,0,1,0
Puebla,0,0,21,42,34,51,45,62,156,220,456,668,451
Queretaro,0,1,0,3,11,6,19,25,30,44,42,56,47
Quintana Roo,0,2,4,1,1,2,2,1,7,1,10,30,1
San Luis Potosi,0,0,0,0,43,32,1,16,0,5,0,0,0
Sinaloa,2,47,71,44,186,189,193,294,316,366,441,641,241
Sonora,0,16,37,38,54,65,99,158,316,342,374,606,46
Tabasco,0,3,1,4,1,1,1,3,8,16,29,0,0
Tamaulipas,1,49,45,153,400,1380,942,672,1362,540,447,2,0
Tlaxcala,0,0,0,0,0,3,2,4,5,5,2,2,1
Veracruz,0,7,7,1,24,79,44,120,229,9,4,0,0
Yucatan,0,1,1,0,3,1,4,8,7,8,15,30,16
Zacatecas,0,0,5,17,36,31,30,41,64,64,75,110,49